Start Time:  10/1/2018 12:29:40 PM        Time Completed:  10/1/2018 1:38:12 PM     Elapsed Time:  01:08:31
Sample ID:     BFO_425_SV_300K_MvsH_011018

Experiment:    C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.exp
Data File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.txt
Plot File:     C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.oc2
VSM Exp File:  C:\IDEASVSM\Default UserID\Ciro-nanoDiscos\2018\a-RU_EB_3\a-RU_EB_3.stp
VSM Data File: C:\IDEASVSM\Default UserID\OSCAR GARZON\V2O3Ni_Inplane\NUEVOS DATOS\100K\BFO_425_SV_300K_MvsH_011018#2.dat

***DATA***

Field(Oe)	 Moment(emu)	 Temperature(K)	
 792.21284 	 0.0014841889 	 300 	
 812.20775 	 0.0015095662 	 300 	
 832.20318 	 0.0015243914 	 299.999 	
 852.19202 	 0.0015465494 	 299.999 	
 872.19448 	 0.0015640727 	 299.999 	
 892.18532 	 0.0015866801 	 299.999 	
 912.18049 	 0.0016065278 	 299.998 	
 932.17071 	 0.0016271712 	 299.998 	
 952.17355 	 0.0016459346 	 299.998 	
 972.16543 	 0.0016643676 	 299.998 	
 1133.8928 	 0.0017977406 	 299.999 	
 1448.1556 	 0.0020715346 	 299.998 	
 1762.4102 	 0.0022716878 	 299.999 	
 2076.6956 	 0.0024912477 	 299.999 	
 2390.9357 	 0.0026717962 	 299.998 	
 2705.1532 	 0.0028475144 	 299.998 	
 3019.3902 	 0.0030186449 	 299.999 	
 3333.6508 	 0.0031820803 	 299.998 	
 3647.8882 	 0.0033307078 	 300 	
 3962.116 	 0.0034931413 	 300 	
 4276.3514 	 0.0036400184 	 299.999 	
 4590.5824 	 0.0038033367 	 299.999 	
 4904.8302 	 0.00393372 	 299.999 	
 5219.0425 	 0.0040563959 	 299.999 	
 5533.1995 	 0.004225496 	 299.999 	
 5847.4905 	 0.0043569836 	 300 	
 6161.7446 	 0.004492801 	 299.998 	
 6475.9637 	 0.004621632 	 299.998 	
 6790.1818 	 0.0047610695 	 299.999 	
 7104.4137 	 0.0048855863 	 299.999 	
 7418.6348 	 0.0050210767 	 299.999 	
 7732.8522 	 0.0051458938 	 299.998 	
 8047.0636 	 0.0052861293 	 299.997 	
 8361.2685 	 0.005411937 	 299.997 	
 8675.4556 	 0.0055380069 	 299.996 	
 8989.6329 	 0.0056619696 	 299.997 	
 9305.8201 	 0.0057793658 	 299.996 	
 9621.0655 	 0.0059080751 	 299.997 	
 9935.1646 	 0.0060337106 	 299.996 	
 10249.232 	 0.0061655284 	 299.996 	
 10563.32 	 0.0062894941 	 299.997 	
 10877.351 	 0.0064073365 	 299.995 	
 11191.386 	 0.0065421138 	 299.996 	
 11505.432 	 0.0066668041 	 299.994 	
 11822.476 	 0.0067912293 	 299.993 	

	
	
